WO Description,WO rem long desc,Cause object
pipe behind press is leaking,locking ring pipe had a leaking gasket,Gasket / Seal / Packing
d4 pipe leaking at hose connection to tableau,hose was loose,Flexible Tubing / Hose
23240-d : kpot-84560015;(-)pan temp,membrane failed during the cure,Membrane
46.1/45.2 checklist,orifice on v4bis was too large,Orifice
23240-d : kpot-55652590;(-)platen temp,rtd card bad,Thermostat
23240-d : kpot-84560085;(+)extraction,membrane stuck to the lid,Plate
micro to nano conversion,converted to nano.,Orifice
23240-d : kpot-64733246;(+)extraction,prr resolved the issue while were on another call,Terminal block
diffuser cap is on backwards,turned it around,Rod / Bar
jib not swinging in,could not duplicate problem . jib operated normally for . checked diaphragm and valve anyway.,Terminal block
23240-d : kpot-84560191;(-)pan temp,membrane failed,Membrane
23240-d : kpot-30299514;(+)removed from auto,ls10 contact block failed . Cody changed it like a boss at the end of the shift.,Limit Switch / Sensor
23241-n : kpot-22988769;(+)loading,locking ring didn't close . worker had everything it needed to close but it still didn't . worker assume the locking ring seized up . cycled press a few times and couldn't get it to repeat . gave press back to operator.,Grease
23241-n : kpot-03171106;(+)extraction,"dcv for the locking ring wasn't shifting . changed sol7 for the fun of it before worker really dug into it cause it was a small orifice black sol . changed the shuttle valve . finally changed the dcv, then removed it and switched the end caps to the correct position and reinstalled it.",Flow Control Valve
23241-n : kpot-18116742;(-)membrane psi,left orange hose leaking . replaced,Flexible Tubing / Hose
23241-n : kpot-71582695;(+)extraction,clogged ps7 serpentine.,Pressure switch
chariot wont bring cover infront of press for proper pick up,so naturally the way to fix this is to shut the press down and not call a troubleshooter . worker got it going again.,Pipe / Rigid Tubing
23241-n : kpot-30299609;(-)membrane psi,pulled on v9 and vinj air lines . both broke easily . ran bypasses . gave back to operator.,Diaphragm
lid not raising,glass tube airline got caught by the lid.,Fitting
23241-n : kpot-29189192;(-)moldback temp,operator put press in stop safety thinking hydrolube was coming from there,POST / STUD
23241-n : kpot-05885397;(+)extraction,couldn't get it to replicate.,Process/CQ-Related
23241-n : kpot-88758799;(-)moldback temp,temp dipped down and back up so fast oscar couldn't see it hit the l2 line . tightened terminals and refired.,Terminal block
23241-n : kpot-30299677;(-)membrane psi,ran some more bypasses . decided to replace v22 . ran more bypasses . gave back to operator.,Directional Valve
23241-n : kpot-18116916;(-)membrane psi,one side of the transducer t got clogged . cleaned out and restarted the press.,Pressure switch
23241-n : kpot-16591700;(+)extraction,air line jumping the two glass tubes together broke . replaced the fitting and restarted the press,Fitting
23241-n : kpot-87969688;(+)extraction,locking ring didn't open . had a ps4 fault . replaced ps4.,Pressure Gauge / Gauge
replace d2  d4 leaking,replaced d2 d4 d5 valves,Gate Valve / Faucet
fix hydraulic leak from h06,replaced d3ter and d5 valve,Check Valve
fix leaking v21,replaced valve,Shut Off Valve
no sr- k-pot,locking ring didn't open . step 354. wasn't getting d7 traced it back to ps7 . ps7 was clogged . electrical switch of ps7 was made while the pneumatic switch wasn't.,Pressure switch
jib fault jib stopping off,replaced cushion,Guide plate
l-07 hydro leak,locking ring pipe leaking - needed weld,Pipe / Rigid Tubing
replace v21e,replaced v21,Gate Valve / Faucet
23241-d : kpot-29189456;(+)loading,adjusted ls23,Screw
23241-d : kpot-55653460;(+)platen temp,replaced rtd can because rtd was cross threaded into can causing it to break off - installed with new rtd,Temperature Sensor
23241-d : kpot-87968816;(+)extraction,replaced d7diaphragm,Diaphragm
45.2 checklist- t04- tearing membranes,completed checklist . found loose jib fingers and adjusted lid guides.,Process/CQ-Related
ecentric shaft broke,replaced ecentric shaft,Eccentric
23241-d : kpot-44399040;(-)moldback temp,replaced v6 sol . ran 2 bypasses.,Solenoid / Coil
23241-d : kpot-51999198;(-)platen temp,caused the k-pot . turned the wrong hand valve off thinking it was for api.,Shut Off Valve
23241-d : kpot-53455520;(+)extraction,mold-shop left the hand valve for v3 off after dimension change.,Shut Off Valve
23241-d : kpot-40266663;(+)membrane temp,v22 orifice,Orifice
23241-d : kpot-64733735;(+)removed from auto,broken lid hook pin,Pin / Clip
k-05 ls1 & ls2 made at same time / won't load,could not duplicate problem,POST / STUD
lid not going all the way up to let jib swing in to get tire,"ls9 body very loose, ls8 head loose",Limit Switch / Sensor
want load cover,wrong press,POST / STUD
wamt load cover,changed psc1,Photocell
23242-n : kpot-51999334;(+)extraction,ps7 serpentine clogged and ps7 clogged with gunk . cleared out serpentine and changed out ps7,Pressure switch
ls1 and ls2 makeing at the same time,replaced ls2 prox,Proximity Sensor / Switch
want load cover,could not duplicate,POST / STUD
23242-n : kpot-51999400;(+)extraction,tire sticking to mold . operator sprayed mold and started press back up,Process/CQ-Related
23242-n : kpot-64730559;(+)removed from auto,changed jib rotation cylinder,Hydraulic Cylinder / Jack
23242-n : kpot-84561075;(+)membrane temp,"replaced leaking v21 e ball valve, also replaced shaft seal prior",Gasket / Seal / Packing
46.1 check list,did most of nsk portion of checklist . need to call cover and put on reheat to complete the rest . operator stated that the cq went away after changing membrane . found a couple things wrong . jib height not correct and ls10 not set at correct position,Membrane
23242-n : kpot-53455830;(-)pan temp,had operator replace membrane,Membrane
eplace top union on v21,replaced union and vipple,Pipe / Rigid Tubing
23242-d : kpot-87970848;(+)loading,ls10 loose,Proximity Sensor / Switch
23242-d : kpot-75162131;(+)extraction,lid didn't lower . replaced d2 diaphragm.,Directional Valve
please adjust lid guides-/ re-center lid- lid is coming down and when hitting membrane plate scrubbing the left side of the pan.,lid and guides are fine - approved by: ar to restart press,Washer
lid hose leaking,removed and repaired replaced lid pipe and replaced jib rotation flow controls,Pipe / Rigid Tubing
locking ring leaking bad- please address- thank you!,tightened locking ring hose,Fitting
precon height needs adjusting,raised membrane and jib precon height 10mm.,Screw
23242-d : kpot-64729477;(+)extraction,door safety wouldn't reset . replaced 13cr,Contactor / Relay
membrane inflation speed,"found jib centering off, jib height off and ls10 set high",Process/CQ-Related
23242-d : kpot-84561395;(-)membrane temp,from last crew-changed v22 and membrane,Membrane
23242-d : kpot-79500739;(+)loading,ls17 staying made,Limit Switch / Sensor
membrane wont inflate,ls20 prox and not working . ls20 prox cable broke too . replaced both the cable and the prox . handed press over to operator for cure law and reheat,Limit Switch / Sensor
23243-n : kpot-88764507;(+)removed from auto,broken lid hook pin,Pin / Clip
23243-n : kpot-87971727;(-)dsp duration,ls2 misaligned . adjusted ls2,Limit Switch / Sensor
23243-n : kpot-71713301;(+)extraction,tire stuck to mold,Leather Brake strap
23243-n : kpot-88764582;(+)extraction,ps7 not made at end of cure . ps7 serpentine and ps7 clogged with gunk . cleared out serpentine and replaced ps7 . put press on reheat,Steam
23243-n : kpot-05938303;(+)extraction,could not duplicate problem-ran multiple cycles w/o fluids,POST / STUD
23243-n : kpot-84561561;(+)extraction,membrane stuck to lid,Plate
hose leak for b-randon,rear locking ring hose,Pipe / Rigid Tubing
23243-n : kpot-84561609;(+)membrane temp,replaced membrane rtd,Temperature Sensor
23243-n : kpot-84561596;(+)extraction,membrane stuck to lid,Rod / Bar
won't inflate in automatic,v4bis had 1.3mm orifice solenoid . changed it to a regular 2.00mm solenoid and put press on reheat,Solenoid / Coil
23243-n : kpot-52684127;(-)moldback temp,moldback purge valve orifice clogged,Orifice
23243-n : kpot-88763059;(-)moldback temp,turned air off on wrong press . had operator start press back up,Screw
23243-n : kpot-64733793;(+)removed from auto,operator faulted out press,POST / STUD
23243-n : kpot-64733793;(+)removed from auto,operator restarted,POST / STUD
23243-d : kpot-22108207;(+)dsp duration,replaced v21s actuator,Gate Valve / Faucet
replaced d4 and d18 leaking,replaced d4 and d18,Directional Valve
91.1-o checklist,4 loose fingers,Finger
checklist,completed checklist,Washer
membreane will not inflate while loading,replaced v4bis and fixed broke air line.,Flexible Tubing / Hose
23243-d : kpot-30302129;(+)extraction,operator refired,POST / STUD
top steam leak,replaced top o-rings,Pressure Gauge / Gauge
membrane not inflating,duplicate work order . operator didnt know one was already put in for this issue . replaced v4bis and broke air line.,Terminal block
t-03 tearing membranes,worker cleaned transducer lines and replaced transducers.,Pressure switch
t-01 cbo lift not working,worked as it should,POST / STUD
t-11 won't load / membrane not inflating,"this wo is wrong, it loaded no problem",POST / STUD
23243-d : kpot-84561758;(+)membrane temp,prr is working the kpot,Membrane
wont load,replaced d18 diaphragm,Diaphragm
23243-d : kpot-87949269;(-)platen temp,replaced output card 12,PLC / PLC Cards
t-03 wo'nt load,got in an electrical cabinet and shorted out psc1 so the press thought it was always blocked . worker ended up taking the signal terminal loose and out of line with the rest which solved the issue.,Terminal block
jib ajustment needed / jib not going down far enough,adjusted jib pick up height . height was within tolerance . lowered it past tolerance.,Process/CQ-Related
wont go to precon height,"d20bis dia leaking, d18 sol stuck on",Solenoid / Coil
23244-n : kpot-84561962;(-)pan temp,blown membrane,Membrane
j06 jib dropping tires inside the press after curing,lowered pickup height 3mm,Screw
press lights not comiing on,one of the lights is bad and is tripping the breaker . unplugged it,Terminal block
23244-n : kpot-05938771;(+)extraction,d19 piston seal blowing by,Diaphragm
23244-d : kpot-03173694;(-)membrane temp,slow fill,Washer
23244-d : kpot-03173690;(+)extraction,ps7 failed fitting was clogged and the serpentine,Pressure switch
steam leak,replaced bottom and side o-rings . buffed shells and cbos,Vent
p-05 leak detect,membrane failed,Membrane
23244-d : kpot-53461030;(-)pan temp,blown membrane,Membrane
cq 46.1,jib precon height was too low,Screw
p-05 jib fitment,the pin in the adjuster had come out of position,Eccentric
wont load,the arm on ls28 had come loose,Limit Switch / Sensor
23244-d : kpot-40232922;(+)consecutive l1s,there is a hole in the inlet pipe leading to v23e - operators were made aware,Pipe / Rigid Tubing
23245-n : kpot-17893128;(+)extraction,ps7 clogged,Pressure switch
e03 46.1 checklist,done . nothing of note found,Screw
23245-n : kpot-03180141;(+)dsp duration,"membrane wasnt draining, replaced v21 sol",Solenoid / Coil
23245-n : kpot-29193782;(-)platen temp,lid lower short hose blew out.,Fitting
membrane not at pre-con to load,"membrane was lowering too slow . found d20 bis dia leaking, replaced dia . membrane was still slow to lower . replaced d17 and d18 to see if that would help . membrane was still slow . took off the return side for membrane lower and saw that cylinder was bypassing",Gasket / Seal / Packing
no precom,press needed a reheat.,Pressure Gauge / Gauge
23245-n : kpot-03180304;(+)dsp duration,ps7 did not change states,Pressure switch
23245-n : kpot-55655973;(+)membrane temp,v22 solenoid failed.,Solenoid / Coil
23245-n : kpot-18120175;(-)membrane temp,v22 orifice clogged . v9 didn't have an orifice and was leaking,Orifice
23245-n : kpot-88767118;(-)platen temp,platen wasnt purging . replaced valve . valve was still struggling to purge . replaced sol . put back on reheat,Solenoid / Coil
press has 46.1 checklist,"almost certainly a bad gi issue, but quality group . no issues found as far as the checklist goes",Washer
still getting scrap cq 46.1 - please check stage 2 of checklist,(3) jib fingers were loose and the front lid guide was out,Finger
23245-d : kpot-55656048;(+)membrane temp,found small piece of trash in the v22 orifice,Orifice
hydro leak behind press,repaired and replaced locking ring open pipe behind press.,Pipe / Rigid Tubing
23245-d : kpot-71715790;(+)loading,replaced ls27 head and contact block,Limit Switch / Sensor
s-11 44.1 checklist started,checked everything and found nothing of note except the checklist still has the chariot table check for 730mm when don't have any smaller than that already . also needs to change the bit about jib not dropping above a certain height to something along the lines of make sure the jib lowers before it drops the tire.,Washer
23245-d : kpot-84539635;(+)membrane temp,"replaced v9, v19, and v-inj sol's",Solenoid / Coil
membrane draining when it shouldn't,transducers were clogged,Sensor
23245-d : kpot-88767697;(+)extraction,ps7 failed - serpentine was clogged,Pressure switch
23245-d : kpot-55656318;(+)membrane temp,changed output card 11,PLC / PLC Cards
23245-d : kpot-51004823;(+)loading,replaced broken lid hook pin . broken pin accounted for.,Pin / Clip
23245-d : kpot-65774006;(+)extraction,operator laid the thrust worker hose over the lid hook ring,Flexible Tubing / Hose
23245-d : kpot-84539801;(-)membrane temp,replaced v-inj,Directional Valve
23245-d : kpot-18120882;(-)membrane psi,membrane o-ring failed,O-Ring
23245-d : kpot-84539826;(-)membrane psi,left from previous crew,Directional Valve
23246-n : kpot-84539891;(+)extraction,membrane plate got stuck to top of mold . turned over to operator,Membrane
press not loading,replaced moldback purge output card,PLC / PLC Cards
24028-n : kpot-87917013;(-)membrane psi,v22 orifice was partially spun in the gasket and barely still attached . caused the 2 bar drop in phase 1. replaced the orifice gasket and ran a bypass . looked good so restarted the press.,Orifice
chariot keeps stoping in front of press,d13 diaphragm,Fitting
24028-d : kpot-08288258;(+)loading,d6 diaphragm leaking . replaced diaphragm,Diaphragm
45.2 checklist,"replaced jib knuckles, replaced 3 bad jib fingers, centered jib over rail,",Shim
door wont lock,"tired replacing safety relay, didnt help . 13 cr had melted wires coming out of a2 contacts . replaced 13 cr and fixed wires.",Solenoid / Coil
24028-d : kpot-88823543;(+)extraction,clogged ps7 serpentine.,Pressure switch
a09 tires getting stuck in top shell after each cure and jib needs adjusting to pick tire out of press,"d19 orifice was broke, sectors were opening too fast",Orifice
24028-d : kpot-88823808;(+)extraction,no pager call . operator restarted it.,Pressure switch
leak,front locking ring pipe cracked . replaced with repaired pipe from downstairs.,Pipe / Rigid Tubing
24028-d : kpot-88824078;(+)extraction,operator started it back up before got there.,POST / STUD
24029-n : kpot-29403279;(+)extraction,ls18 head was bad,Limit Switch / Sensor
24029-n : kpot-14824142;(-)membrane psi,had operator replace membrane,Membrane
h-09 lid leak,tightened lower lid fitting about 1 & 1/2 flats.,Nut
not loading jib no swing in/out,transducers clogged,Pressure Gauge / Gauge
24029-d : kpot-55701745;(+)moldback temp,replaced output card 11.,Terminal block
lid not closing,sms press in downtime code 18 pan seal . rear left anti-rotation pin loose . tightened it in place and made sure all the other bolts were tight and then the lid lowered for reheat.,Anti-Rotation Device
double pick up checklist,completed checklist,Fitting
press wont load,transducer hose left disconnected after reconnected and put on reheat,Flexible Tubing / Hose
checklist for 34.1,checklist completed . found no issues . known chaine quality with tire build,POST / STUD
24030-n : kpot-55701924;(+)loading,ls10 head was stuck,Limit Switch / Sensor
24030-n : kpot-29404494;(+)consecutive l1s,reseated rtd card and replaced rtd,Temperature Sensor
24030-n : kpot-87919822;(+)loading,lid hook pin was broken,Pin / Clip
24030-n : kpot-84578236;(-)pan temp,membrane failed,Membrane
24030-n : kpot-84578336;(-)pan temp,membrane failed,Membrane
g-01 won't load,loaded just fine after scanning barcode.,Terminal block
h-03 jib fitment to tight,adjusted cover fitment,Finger
24030-n : kpot-55701753;(+)loading,arm on ls10 had come loose,Limit Switch / Sensor
24030-n : kpot-29405193;(+)extraction,ps7 failed,Pressure switch
24030-n : kpot-64863441;(-)membrane psi,operator replaced membrane,Membrane
24030-d : kpot-67399512;(+)extraction,right lid hook not closing when lid is up . noticed nut loose on air cyl clevis and clevis backed out . fixed that and thing was happening . thrust worker hoses in the way of lid hook was the issue,Anti-Rotation Device
want load mb not in precon,put on reheat and loaded fine . will follow up and watch a couple more loads,Terminal block
lid speed is too slow for nano- timed at 187.1,"2.0ish orifice, inconsistent times, lid may be bad",Orifice
cbo too fast for nano- timed at 26.9,swapped orifice . cbo speed good . timed @ 39.2 centiseconds,Terminal block
46.1 checklist,checklist completed,Terminal block
24030-d : kpot-67399583;(+)extraction,failed ps7,Pressure switch
24030-d : kpot-80538272;(-)moldback temp,momentary moldback . tightened terminals and rtd connector,Electric Plug
24030-d : kpot-80538322;(-)membrane psi,"slow fill . and then left it down for an hour or so, didn't stretch the membrane and.",Filter
24030-d : kpot-80538382;(-)membrane psi,"had a slow fill kpot, were told it was a slow fill and it needed to be started back up . instead left it down for 2 hours, didn't stretch the membrane and it did exactly what it did before . so worker babysat the press and stretched the membrane and loaded it up as soon as worker got a membrane and no slow fill",Filter
24031-n : kpot-58149447;(-)membrane psi,hole in membrane,Membrane
24031-d : kpot-71891751;(-)platen temp,press on b01 and accidental cutoff on b02,Terminal block
operator says wont load,bad o:11 card,Input / Output Card
24031-d : kpot-28512255;(-)membrane psi,missed ls12,Limit Switch / Sensor
cbo/lid need nano orifice- no orifice in cbo- 3.6 / lid too slow- 187.3,left s/c leaking by someone replaced d19 sol and left the cap off,Terminal block
ring will not close to lock lid during reheat,ls12 not making,Limit Switch / Sensor
24031-d : kpot-87922356;(+)loading,ls2 out of adjustment,Limit Switch / Sensor
24031-d : kpot-68600734;(+)extraction,operator left door open,Safety Relay
91.1o checklist,"cbo speed too slow, lid too fast, burrs on fingers, loose fingers",Orifice
24031-d : kpot-52798696;(+)extraction,tire sticking to press,Terminal block
46.1 checklist started,checklist was not needed,Terminal block
24031-d : kpot-08296608;(-)moldback temp,output card for moldback purge,PLC / PLC Cards
24032-n : kpot-18225002;(+)loading,jib rotation cylinder bad causing jib to inside and halfway drop cover in press - replaced cylinder and slowed down,Hydraulic Cylinder / Jack
24032-n : kpot-67400366;(-)platen temp,replaced output card o:12,PLC / PLC Cards
24032-n : kpot-29407449;(+)extraction,replaced ps7,Pressure switch
24032-n : kpot-29407945;(+)loading,tire stuck to top shell and fell into press while loading,Process/CQ-Related
24032-n : kpot-67400509;(+)removed from auto,operator restarted,Washer
24032-n : kpot-58154004;(+)membrane temp,no crossover pipe - ar replacing missing pipe,Screw
24032-d : kpot-64861003;(+)extraction,co2 operator didn't rearm the door after hooking up co2 machine.,POST / STUD
no sr jib fingers not working properly.,"q found adjustment pin had the jib head in position . got it working again, cause's the man!",Locating Pin
lid comes up really slow and tire gets stuck to top of mold,lid raise slow speed was 157 cs drilled orifice at d1 and got a speed of 127cs,Orifice
no pager call/ press p5 lid cylinder leak,replaced red fiber gasket for lid raise fitting at lid cylinder . no pager call.,Fitting
overhead fault u line,did a retry pick-up cover,Solenoid / Coil
34.1 checklist-,day shift did checklist,Grease
34.1 checklist,day shift did checklist,Washer
34.1 checklist for b08- checklist to be completed on all running b08,day shift did checklist,Screw
34.1 checklist- checklist to be completed on all running b08 presses,day shift did checklist,Washer
34.1 checklist- checklist to be completed on running b08 presses,day shift did checklist,Washer
sectors no closing,ls15 input was constantly being made . changed the prox,Solenoid / Coil
24032-d : kpot-76871152;(-)membrane psi,hole in membrane at about the 9 oclock position at the top plate,Membrane
24032-d : kpot-87924055;(+)extraction,it looked like a clogged transducer on oscar . checked for a clog . both looked clean and had good vacuum on line . replaced both transducers.,Sensor
lid/cbo speeds off for nano- cbo timed @ 28.7- lid-stopped going up,got the lid speed in spec . couldn't get the sector speeds quite in . didn't have a nickel . base orifice was too fast by about 4 centiseconds . d19 bis was changed just to make sure it wasn't leaking through.,Orifice
press has 34.1 checklist,day shift did checklist,Washer
24032-d : kpot-71788503;(-)moldback temp,no pager call op refire,POST / STUD
24032-d : kpot-45956646;(-)moldback temp,blowout on h01 caused kpot,Terminal block
24033-n : kpot-45956642;(+)extraction,replaced locking ring open hose,Flexible Tubing / Hose
34.1 checklist,checklist completed . found no issues . put press on reheat,POST / STUD
24033-n : kpot-52765492;(+)consecutive l1s,moldback temp not lowering fast enough after hot shot . replaced purge solenoid and orifice . put press on reheat,Solenoid / Coil
44.1 checklist,completed checklist . replaced d19 bis,Terminal block
24033-n : kpot-28512871;(+)extraction,replaced ps7 and blew out serpentine.,Pressure switch
r-04 glass tube broke,tube broke,Leather Brake strap
r-04 right glass tube broke,tube broke,Safety Gate Interlock
hydro leak,tightened hose fitting on front locking ring cylinder,Fitting
24033-d : kpot-54353428;(-)membrane temp,slow fill . stretched membrane and restarted press,Washer
24033-d : kpot-54353875;(+)extraction,clogged ps7.,Pressure switch
24033-d : kpot-80508841;(+)loading,ls12 set too low . barely making the flag puck . must not have aligned this time . moved it a little to center on the puck and reloaded the press,Sensor
24033-d : kpot-67405305;(-)dsp duration,"press misloaded . blew the membrane . got the cover out, and the operator replaced the membrane and restarted press.",Membrane
24033-d : kpot-67405336;(-)membrane psi,tire misload . blew membrane,Membrane
24033-d : kpot-67405334;(-)membrane psi,tire misload . blew membrane,Membrane
24033-d : kpot-80540712;(+)extraction,tire stuck to 1st cure membrane . operator never called it in . looks like changed the membrane and restarted the press.,Membrane
24033-d : kpot-76872281;(-)membrane psi,opened press up for operator and had operator replace membrane,Membrane
24033-d : kpot-54352848;(-)membrane temp,removed poppet,Orifice
24034-n : kpot-55705463;(+)platen temp,replaced v2 solenoid for platen old style solenoid and hot to touch,Solenoid / Coil
24034-n : kpot-54352898;(+)membrane temp,v22 orifice was clogged,Orifice
jib fingers not working,fitting broke on jib head . replaced and put press on reheat,Fitting
m-12 not picking tire up,membrane encoder magnet threaded rod fell out . put threaded rod back on and set precon to consigne . restarted press,Rod / Bar
24034-n : kpot-29410771;(+)extraction,press door was open,Terminal block
press keeps timing out and wont load,d18 valve leaking from stem . replaced d18 valve,Directional Valve
24034-n : kpot-67405625;(-)membrane temp,membrane fail,Membrane
24034-n : kpot-29410822;(+)extraction,replaced ps7 and blew serpentine out . serpentine was clogged.,Pressure switch
sectors won't close,d19 diaphragm was blown,Diaphragm
24034-d : kpot-41943269;(+)extraction,pz7 clogged,Pressure switch
24034-d : kpot-76872908;(-)platen temp,output didn't energize.,Terminal block
24034-d : kpot-88796014;(+)extraction,hose coming off of d7 blew out . had to kill hydraulics to r & s line at the header so worker could wade in and turn off the 100 bar at the press then turned the header back on . replaced the hose and restarted the press.,Flexible Tubing / Hose
lid raise fault,right lid hook cylinder's shaft seized up . replaced cylinder and closed limit switch head.,Hydraulic Cylinder / Jack
24034-d : kpot-70976535;(+)extraction,left from crew 2 . worker replaced ps7,Pressure switch
24034-d : kpot-41943697;(+)removed from auto,broken lid hook pin,Pin / Clip
24035-n : kpot-58152012;(-)membrane psi,membrane blown,Membrane
24035-n : kpot-41943730;(+)membrane temp,trash washed out of the v22 pipe,Pipe / Rigid Tubing
jib not lowering while swung in press,adjusted ls17,Terminal block
replace lid shaft seals,replaced seals,Hydraulic Cylinder / Jack
replace d20 dia,replaced dia,Orifice
23149-d : kpot-18070052;(-)platen temp,mold shop turned off to wrong press,POST / STUD
replace moldbak steam trap,replaced trap,Relief Valve
jib not swinging in,thrust worker hoses in the way of the lid,Screw
membrane orfice leaking,replaced orfice and gasket,Orifice
air hose leaking on lid,repaired air leak on lid,Tube
23149-d : kpot-71626521;(+)consecutive l1s,membrane rtd split . re-seated card and made sure terminals were all tight . started press back up and verified no more temp split,Terminal End
23150-n : kpot-40254209;(+)extraction,ps7 failed . replaced ps7 and cleared out copper line . removed tire from press and started back up,Pressure switch
jib dropping cover on chairiot,jib fitment was too loose,Finger
lid not on hooks,broken lid hook pin,Pin / Clip
jib not swinging in,air for hydraulic tableau was turned off . turned air on and put press on reheat,Process/CQ-Related
23150-n : kpot-22984383;(+)consecutive l1s,"operators were made aware of a broken pipe that needed to be welded, but the press could run . chose to leave it down until dayshift",Pipe / Rigid Tubing
lid want open after reheat,analog input card memb ctrl,PLC / PLC Cards
23150-n : kpot-87876303;(-)membrane psi,had operator change membrane . operator put press on reheat,Membrane
23150-d : kpot-71621277;(-)membrane temp,v22 orifice was cracked . replaced it with new one.,Orifice
23150-d : kpot-87875783;(-)membrane psi,left orange hose was leaking badly . worker replaced that and noticed the front fitting was rather loose . ran a bypass to confirm the issue was fixed and found the right orange hose wasn't even finger tight either . then noticed the inlet and outlet gasket on vinject was leaking as well as the inlet for v9 . replaced the inlet on both valves and tightened . next bypass was down to 3 bumps so worker believe the issue is resolved.,Flexible Tubing / Hose
not reheating,"broken airline to d1ter, lid wouldnt lower in fast speed",Flow Control Valve
46.1 checklist- r4 standout for all classes,"did checklist, found nothing, gave back to the operator.",Push Button
38.1 checklist,completed nsk portion,Shut Off Valve
m/b wont raise,replaced d18sol.,Solenoid / Coil
replace flex hose,replaced flex hose,Flexible Tubing / Hose
23150-d : kpot-18077949;(+)extraction,jib didnt pick up tire out of press . lowered jib pick up height within tolerance of consign,Fitting
repair mjib cylinder,repaired jib cylinder,Hydraulic Cylinder / Jack
locking ring leak into aisle way,party central had already fixed the leak by the time worker got out there,Pipe / Rigid Tubing
23150-d : kpot-33802610;(+)extraction,lid hook pin broke and lid hook folded under preventing the lid from raising all the way . lowered lid and replaced pin.,Pin / Clip
"not reheating h1,2,3,4",was turned off from dim change,Shut Off Valve
lid not closing,broken airline . replaced airline,Nut
23151-n : kpot-22992759;(+)consecutive l1s,v22 orifice slightly clogged with build up . cleared out orifice and replaced v22 valve . valve stem was corroded and had rings . put press on reheat,Directional Valve
membrane wont go to precon height,replaced ps7 and blew line out.,Pressure switch
23151-n : kpot-39357654;(+)extraction,membrane transducers clogged big time . replaced transducer tee and transducer hose,Orifice
l-01 hydro leak in basement,hose going to d1 bis blew off . secured hose to valve,Flexible Tubing / Hose
jib wont pick up cover or tire,diaphragm leaking on d14 valve . replaced diaphragm and put press on reheat,Diaphragm
23151-n : kpot-64595069;(+)loading,blown diaphragm on d1bis,Diaphragm
23151-n : kpot-87876786;(-)moldback temp,"the hand valve supplying air to the glass tube off entirely, had to replace",Shut Off Valve
23151-n : kpot-81794907;(-)membrane psi,had operator replace membrane,Membrane
pipe leaking,replaced locking ring open gasket behind press.,Fitting
23151-d : kpot-81793578;(-)membrane psi,left orange hose had a hole in it . replaced hose,Flexible Tubing / Hose
replace gaskets in 100 bar hand valve,replaced strainer gaskets,Hydraulic fluid
23151-d : kpot-39357707;(+)loading,"jib fingers wouldnt release when membrane was inflating . membrane precon was off, re-calbirated",Membrane
chariot not advancing,jib not going down on time . d13 diaphragm leaking.,Fitting
flood lights not working on j06,one of the wires was loose from contactor,Terminal End
lid not closing,right lid hook was hung on some rubber . removed rubber and cycled a few times.,Grease
23151-d : kpot-33803183;(+)extraction,ps7 clogged,Pressure switch
wont load,transducers were clogged completely,Pressure switch
m/b wont reach precon,bracket holding the membrane encoder to the sectors cylinder had fallen off,THREADED ROD
23152-n : kpot-40221223;(+)extraction,ps7 serpentine clogged,Pressure switch
23152-d : kpot-61848834;(-)membrane psi,hole in membrane,Membrane
46.1 checklist- multiple checklists completed/membranes changed,see checklist,Proximity Sensor / Switch
stops off for rtd every cure,replaced rtd,Thermostat
"need to come out, crew 1 said steam leak not counting down",flange was loose,Flange
23153-n : kpot-89405058;(+)extraction,thrust worker hose caught in lid hook,Proximity Sensor / Switch
23153-n : kpot-81792387;(+)extraction,transducers for membrane clogged . cleared clog and restarted press,Steam
23153-n : kpot-31863273;(-)membrane psi,ls2 unmade,Proximity Sensor / Switch
23153-n : kpot-43541330;(+)extraction,mold was not sprayed before curing tire . tire stuck in mold . got tire out,Process/CQ-Related
want load cover too much temp,membrane rtd plug off,Temperature Sensor
23153-n : kpot-87794927;(-)membrane psi,operator replaced membrane,Membrane
23153-n : kpot-31863355;(-)membrane psi,wire 1 was loose on 4cr.,Terminal fitting
79.1 checklist,completed 79:1 checklist,Process/CQ-Related
23154-n : kpot-89405027;(-)moldback temp,didnt find kpot on oscar refired press,Temperature Sensor
plc want clear fault,initialized press,PLC / PLC Cards
23154-n : kpot-23890595;(+)extraction,ps7 not making . replaced ps7 and cleared ps7 line,Pressure switch
23154-n : kpot-18200002;(+)removed from auto,"partie central was turned during membrane change, did not make ls15",POST / STUD
too much temp differance between membrane rtd,reseated rtd card,PLC / PLC Cards
79.1 checklist,did checklist and found that the front lid guides were not acceptable . adjusted lid guides,Rail / Track
23154-n : kpot-71542276;(+)removed from auto,d1 diaphragm leaking air . replaced dia,Diaphragm
23154-n : kpot-18200542;(-)membrane temp,tighten terminals on rtd card and re-seated card.,PLC / PLC Cards
23154-d : kpot-61854703;(+)consecutive l1s,changed membrane,Membrane
23154-d : kpot-29156576;(+)loading,jib flap dcv bad,Compressed Air
jib want swing in to get tire,cleaned photocell,Photocell
23155-n : kpot-39359284;(-)membrane psi,had operator restart press . slow fill,Orifice
23302-n : kpot-79524642;(+)extraction,"membrane blew, and tire was stuck to top shell",Membrane
v03 too many leaks,replaced ps7,Pressure switch
leak detection,replaced gasket above injector,Washer
